name,mos
Romanoillamp_6.ply,0.8771683673
Romanoillamp_7.ply,0.7568877551
Romanoillamp_8.ply,0.6619897959000001
Romanoillamp_9.ply,0.7808333333
Romanoillamp_10.ply,0.6953125
Romanoillamp_11.ply,0.62265625
Romanoillamp_12.ply,0.7941666667
Romanoillamp_13.ply,0.8163461538
Romanoillamp_14.ply,0.825
Romanoillamp_15.ply,0.7544230769
Romanoillamp_16.ply,0.5125
Romanoillamp_17.ply,0.27230769229999996
Romanoillamp_18.ply,0.9553571429
Romanoillamp_19.ply,0.871875
Romanoillamp_20.ply,0.7296153846
Romanoillamp_21.ply,0.6198076923
Romanoillamp_22.ply,0.6667091837
Romanoillamp_23.ply,0.26
Romanoillamp_24.ply,0.8008333333
Romanoillamp_25.ply,0.87734375
Romanoillamp_26.ply,0.6533333333
Romanoillamp_27.ply,0.3125
Romanoillamp_28.ply,0.24119897959999997
Romanoillamp_29.ply,0.1433333333
Romanoillamp_30.ply,0.940625
Romanoillamp_31.ply,0.7008333333000001
Romanoillamp_32.ply,0.6166666667
Romanoillamp_33.ply,0.393622449
Romanoillamp_34.ply,0.37734375
Romanoillamp_35.ply,0.15703125
Romanoillamp_36.ply,0.8433333333
Romanoillamp_37.ply,0.85625
Romanoillamp_38.ply,0.71953125
Romanoillamp_39.ply,0.3545918367
Romanoillamp_40.ply,0.2811538462
Romanoillamp_41.ply,0.1223076923
loot_6.ply,0.9650000000000001
loot_7.ply,0.7316666667
loot_8.ply,0.5396683673
loot_9.ply,0.45846153850000004
loot_10.ply,0.4230867347
loot_11.ply,0.40625
loot_12.ply,0.8267307691999999
loot_13.ply,0.8613520407999999
loot_14.ply,0.7676020408
loot_15.ply,0.578125
loot_16.ply,0.2975
loot_17.ply,0.185
loot_18.ply,0.8180769230999999
loot_19.ply,0.6925
loot_20.ply,0.48
loot_21.ply,0.4299744898
loot_22.ply,0.2283333333
loot_23.ply,0.1223076923
loot_24.ply,0.7190384615000001
loot_25.ply,0.728125
loot_26.ply,0.4166666667
loot_27.ply,0.2376923077
loot_28.ply,0.1703846154
loot_29.ply,0.1
loot_30.ply,0.7341666667
loot_31.ply,0.7765306122
loot_32.ply,0.47750000000000004
loot_33.ply,0.28250000000000003
loot_34.ply,0.2492346939
loot_35.ply,0.1223076923
loot_36.ply,0.8344230769
loot_37.ply,0.67
loot_38.ply,0.425
loot_39.ply,0.2758333333
loot_40.ply,0.1934615385
loot_41.ply,0.12
soldier_6.ply,0.9583333333
soldier_7.ply,0.6950255102
soldier_8.ply,0.5813461538
soldier_9.ply,0.6069230769
soldier_10.ply,0.4516666667
soldier_11.ply,0.3909438776
soldier_12.ply,0.7615384615
soldier_13.ply,0.85234375
soldier_14.ply,0.768877551
soldier_15.ply,0.5623076923
soldier_16.ply,0.41171875
soldier_17.ply,0.1934615385
soldier_18.ply,0.9178571429
soldier_19.ply,0.81328125
soldier_20.ply,0.5765625
soldier_21.ply,0.4463461538
soldier_22.ply,0.31640625
soldier_23.ply,0.1491666667
soldier_24.ply,0.7816666667
soldier_25.ply,0.5833333332999999
soldier_26.ply,0.45546875
soldier_27.ply,0.17265625
soldier_28.ply,0.1781887755
soldier_29.ply,0.1
soldier_30.ply,0.7825
soldier_31.ply,0.76640625
soldier_32.ply,0.4334615385
soldier_33.ply,0.2280769231
soldier_34.ply,0.18671875
soldier_35.ply,0.12346938780000001
soldier_36.ply,0.865
soldier_37.ply,0.7084183673
soldier_38.ply,0.4358333333
soldier_39.ply,0.275
soldier_40.ply,0.2320153061
soldier_41.ply,0.14140625
ULB Unicorn_6.ply,0.7688461538
ULB Unicorn_7.ply,0.83671875
ULB Unicorn_8.ply,0.6553571429
ULB Unicorn_9.ply,0.6880769231
ULB Unicorn_10.ply,0.6348076923
ULB Unicorn_11.ply,0.59453125
