sample1_name,sample2_name,sample1_mos,sample2_mos
Romanoillamp_0.ply,Romanoillamp_1.ply,9.116666667,9.321428571
Romanoillamp_0.ply,Romanoillamp_2.ply,9.116666667,9.682692308
Romanoillamp_0.ply,Romanoillamp_3.ply,9.116666667,8.62244898
Romanoillamp_0.ply,Romanoillamp_4.ply,9.116666667,7.691326531
Romanoillamp_0.ply,Romanoillamp_5.ply,9.116666667,3.6171875
Romanoillamp_0.ply,Romanoillamp_6.ply,9.116666667,8.771683673
Romanoillamp_0.ply,Romanoillamp_7.ply,9.116666667,7.568877551
Romanoillamp_0.ply,Romanoillamp_8.ply,9.116666667,6.619897959
Romanoillamp_0.ply,Romanoillamp_9.ply,9.116666667,7.808333333
Romanoillamp_0.ply,Romanoillamp_10.ply,9.116666667,6.953125
Romanoillamp_0.ply,Romanoillamp_11.ply,9.116666667,6.2265625
Romanoillamp_0.ply,Romanoillamp_12.ply,9.116666667,7.941666667
Romanoillamp_0.ply,Romanoillamp_13.ply,9.116666667,8.163461538
Romanoillamp_0.ply,Romanoillamp_14.ply,9.116666667,8.25
Romanoillamp_0.ply,Romanoillamp_15.ply,9.116666667,7.544230769
Romanoillamp_0.ply,Romanoillamp_16.ply,9.116666667,5.125
Romanoillamp_0.ply,Romanoillamp_17.ply,9.116666667,2.723076923
Romanoillamp_0.ply,Romanoillamp_18.ply,9.116666667,9.553571429
Romanoillamp_0.ply,Romanoillamp_19.ply,9.116666667,8.71875
Romanoillamp_0.ply,Romanoillamp_20.ply,9.116666667,7.296153846
Romanoillamp_0.ply,Romanoillamp_21.ply,9.116666667,6.198076923
Romanoillamp_0.ply,Romanoillamp_22.ply,9.116666667,6.667091837
Romanoillamp_0.ply,Romanoillamp_23.ply,9.116666667,2.6
Romanoillamp_0.ply,Romanoillamp_24.ply,9.116666667,8.008333333
Romanoillamp_0.ply,Romanoillamp_25.ply,9.116666667,8.7734375
Romanoillamp_0.ply,Romanoillamp_26.ply,9.116666667,6.533333333
Romanoillamp_0.ply,Romanoillamp_27.ply,9.116666667,3.125
Romanoillamp_0.ply,Romanoillamp_28.ply,9.116666667,2.411989796
Romanoillamp_0.ply,Romanoillamp_29.ply,9.116666667,1.433333333
Romanoillamp_0.ply,Romanoillamp_30.ply,9.116666667,9.40625
Romanoillamp_0.ply,Romanoillamp_31.ply,9.116666667,7.008333333
Romanoillamp_0.ply,Romanoillamp_32.ply,9.116666667,6.166666667
Romanoillamp_0.ply,Romanoillamp_33.ply,9.116666667,3.93622449
Romanoillamp_0.ply,Romanoillamp_34.ply,9.116666667,3.7734375
